,user_id,corrected_cust,corrected_bot1_shift,bots_templ_list_shift
0,2061123000, place_name  at  place_name  time is it is the centre at  place_name  from runs the bus_name 8 30 bus_name can't  place_name ,leaving from  placename    sep_sent is this correct  sep_sent , templ_473 templ_1190
1,2061123000, place_name ,leaving from  placename    sep_sent is this correct  sep_sent , templ_473 templ_1190
2,2061123000,yes,leaving from  placename    sep_sent is this correct  sep_sent  placename where do you  placename  to go  sep_sent , templ_473 templ_1190 templ_211
3,2061123000, place_name   place_name  of num_th  place_name ,going to numth  placename    sep_sent is this correct  sep_sent , templ_902 templ_1190
4,2061123000,yes,going to numth  placename    sep_sent is this correct  sep_sent alrightwhen do you wanna travel  sep_sent , templ_902 templ_1190 templ_1055
5,2061123000,sunday,at what time do you wanna travel  sep_sent , templ_883
6,2061123000,at 5 4 very about  place_name  o'clock,leaving at timename  sep_sent is this correct  sep_sent , templ_428 templ_1190
7,2061123000,yes,leaving at timename  sep_sent is this correct  sep_sent  placename hold on  sep_sent let me check that for you  sep_sent placename  and numth  placename  are both the same stop  sep_sent please provide a different  placename  or end point  sep_sent to ask about a different trip you can say  placename  a new query  sep_sent if you are finished you can say goodbye, templ_428 templ_1190 templ_1370 templ_1282 templ_1251 templ_177 templ_1218 templ_425
8,2061123000,bus_name,you can say  placename  a new query or goodbye, templ_734
9,2061123000,5 duquesne,to ask about a different trip you can say  placename  a new query  sep_sent if you are finished you can say goodbye, templ_642 templ_425
10,2061123000,last the next,you can say  placename  a new query or goodbye, templ_734
11,2061123000, place_name  wh,to ask about a different trip you can say  placename  a new query  sep_sent if you are finished you can say goodbye, templ_642 templ_425
12,2061123000,the,you can say  placename  a new query or goodbye, templ_734
13,2061123000,thank you query  place_name  back,to ask about a different trip you can say  placename  a new query  sep_sent if you are finished you can say goodbye, templ_642 templ_425
14,2061123000,goodbye,end_of_chat,end_of_chat
15,2061122000,bus_name,the busname   sep_sent did i get that  placename , templ_1409 templ_270
16,2061122000,yes,the busname   sep_sent did i get that  placename okaywhere do you wanna leave from  sep_sent , templ_1409 templ_1007
17,2061122000, direction   place_name  junction,leaving from  direction   placename  junction   sep_sent did i get that  placename , templ_1043 templ_270
18,2061122000,yes from,if you  placename  to leave from  direction   placename  junction say yes or press  short_num  otherwise say no or press  short_num   sep_sent , templ_1297
19,2061122000,yes,if you  placename  to leave from  direction   placename  junction say yes or press  short_num  otherwise say no or press  short_num   sep_sent placename where do you  placename  to go  sep_sent , templ_1297 templ_93
20,2061122000,yes,for example you can say  direction   placename  junction numth at bigelow or the  direction  side  sep_sent , templ_880
21,2061122000, direction  side,going to  direction  side   sep_sent is this correct  sep_sent , templ_1309 templ_1190
22,2061122000,yes,going to  direction  side   sep_sent is this correct  sep_sent okaywhen do you  placename  to travel  sep_sent , templ_1309 templ_1190 templ_900
23,2061122000,now,i think you  placename  the next bus   sep_sent am i  placename , templ_543 templ_934
24,2061122000,yes,end_of_chat,end_of_chat
25,2061122001,bus schedule,for example you can say when is the next busname from  placename  to the  placename  or id like to go from  placename  to  placename  tomorrow at timename  sep_sent , templ_169
26,2061122001,the new to  place_name   place_name ,going to  placename   placename    sep_sent is this correct  sep_sent , templ_1452 templ_1190
27,2061122001,what am yes,going to  placename   placename    sep_sent is this correct  sep_sent  placename where are you leaving from  sep_sent , templ_1452 templ_1190 templ_304
28,2061122001,cmu,leaving from cmu   sep_sent did i get that  placename , templ_966 templ_270
