,user_id,bot_text,cust_text
0,2061123000," welcome to the cmu let's go bus information system. to get help at any time, just say help or press zero. what can i do for you?",penn at butler time is it is the centre at highland from runs the 61a eight thirty 61b can't oakland
1,2061123000, leaving from oakland . is this correct?,oakland
2,2061123000, leaving from oakland . is this correct?,yes
3,2061123000, leaving from oakland . is this correct? right where do you want to go?,squirrel hill of fifth avenue
4,2061123000, going to fifth avenue . is this correct?,yes
5,2061123000, going to fifth avenue . is this correct? alright when do you wanna travel?,sunday
6,2061123000, at what time do you wanna travel?,at five four very about eleven o'clock
7,2061123000, leaving at 11 a.m. . is this correct?,yes
8,2061123000," leaving at 11 a.m. . is this correct? right hold on. let me check that for you. oakland and fifth avenue are both the same stop. please provide a different start or end point. to ask about a different trip, you can say, start a new query. if you are finished, you can say goodbye.",61a
9,2061123000," you can say start a new query, or goodbye.",five duquesne
10,2061123000," to ask about a different trip, you can say, start a new query. if you are finished, you can say goodbye.",last the next
11,2061123000," you can say start a new query, or goodbye.",start wh
12,2061123000," to ask about a different trip, you can say, start a new query. if you are finished, you can say goodbye.",the
13,2061123000," you can say start a new query, or goodbye.",thank you query eleven back
14,2061123000," to ask about a different trip, you can say, start a new query. if you are finished, you can say goodbye.",goodbye
15,2061122000," welcome to the cmu let's go bus information system. to get help at any time, just say help or press zero. what can i do for you?",54c
16,2061122000, the 54c . did i get that right?,yes
17,2061122000, the 54c . did i get that right? okay where do you wanna leave from?,south hills junction
18,2061122000, leaving from south hills junction . did i get that right?,yes from
19,2061122000," if you want to leave from south hills junction say yes or press one, otherwise say no or press three.",yes
20,2061122000," if you want to leave from south hills junction say yes or press one, otherwise say no or press three. right where do you want to go?",yes
21,2061122000," for example, you can say, south hills junction, fifth at bigelow, or the south side.",north side
22,2061122000, going to north side . is this correct?,yes
23,2061122000, going to north side . is this correct? okay when do you want to travel?,now
24,2061122000, i think you want the next bus . am i right?,yes
25,2061122001," welcome to the cmu let's go bus information system. to get help at any time, just say help or press zero. what can i do for you?",bus schedule
26,2061122001," for example, you can say, when is the next 28x from downtown to the airport? or i'd like to go from mckeesport to homestead tomorrow at 10 a.m..",the new to squirrel hill
27,2061122001, going to squirrel hill . is this correct?,what am yes
28,2061122001, going to squirrel hill . is this correct? right where are you leaving from?,cmu
29,2061122001, leaving from cmu . did i get that right?,yes
30,2061122001, leaving from cmu . did i get that right? alright when are you going to take that bus?,one a m that
31,2061122001, leaving at 1 a.m. . did i get that right?,yes
32,2061122001," leaving at 1 a.m. . did i get that right? okay hold on. i'll look that up. there is a 61c leaving forbes avenue at carnegie mellon morewood at 1 18 a.m. . it will arrive at murray avenue at darlington at 1 28 a.m. . to get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. to ask about a different trip, you can say, start a new query. if you are finished, you can say goodbye. you can say, when is the next bus, when is the previous bus, start a new query, or goodbye.",when is the previous bus what is the previous bus
33,2061122001," leaving at 1 a.m. . did i get that right? okay hold on. i'll look that up. there is a 61c leaving forbes avenue at carnegie mellon morewood at 1 18 a.m. . it will arrive at murray avenue at darlington at 1 28 a.m. . to get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. to ask about a different trip, you can say, start a new query. if you are finished, you can say goodbye. you can say, when is the next bus, when is the previous bus, start a new query, or goodbye. just a second. there is a 61a leaving forbes avenue at carnegie mellon morewood at 12 59 a.m. . it will arrive at forbes avenue at murray at 1 oh 4 a.m. . to get more information about buses related to this trip, you can say, when is the next bus, or, when is the previous bus. to ask about a different trip, you can say, start a new query. if you are finished, you can say goodbye.",when is the previous bus
